Date; Nombre d'episode; score a atteindre; nombre d'aliens; alpha; gamma; espsilon; win_rate
2023-04-26 18:14:24.953710;1000;20;1;0.1;0.9;0.4;30.0
2023-04-26 20:36:26.717451;1000;20;1;0.1;0.9;0.1;18.1
2023-04-29 23:57:10.213081;1;5;1;0.1;0.9;0.4;100.0
2023-04-29 23:57:25.108949;1;5;1;0.1;0.9;0.1;100.0
2023-04-29 23:57:37.452962;1;5;1;0.1;0.9;0.1;100.0
2023-04-29 23:57:48.209119;1;5;1;0.1;0.9;0.1;100.0
2023-04-29 23:57:59.505151;1;5;1;0.1;0.9;0.1;100.0
2023-04-29 23:58:09.546125;1;5;1;0.1;0.9;0.1;100.0
2023-04-29 23:58:38.900372;1000;75;5;0.1;0.9;0.4;23.6
